,is_accident,accident_datetime,street,city,number_injured,accident_severity,drivers,id_column,input_text,accidents
10,True,2025-03-16 08:00,Coast Road,Naxxar,1.0,Serious,"[{'vehicle_type': 'Motorcycle', 'vehicle_damage_severity': 'none', 'driver_age': 40, 'driver_gender': 'M', 'is_victim': True}]",11,"Title: Motorcycle accident in Naxxar
Content: This morning at around 0800hrs, a 40-year-old man from Ħaż-Żabbar, was hospitalised at Mater Dei following a traffic accident along the Coast Road in Naxxar.Preliminary investigations showed that the man was riding a Honda CBR motorcycle, lost control and crashed.He was assisted by a medical team and taken to hospital by an ambulance. Later he was certified with serious injuries.Magistrate Dr Joseph Mifsud LL.D was informed about the case and appointed a Magisterial Inquiry whilst Police investigation is still on going.
Publish Date: 2025-03-16",
11,True,2025-04-22 13:00,Cospicua Seafront,Cospicua,1.0,Serious,"[{'vehicle_type': 'Nissan March', 'vehicle_damage_severity': 'none', 'driver_age': 48, 'driver_gender': 'M', 'is_victim': False}]",12,"Title: Italian woman grievously injured in a traffic accident
Content: An Italian woman was taken to Mater Dei Hospital for some injuries she suffered in a traffic accident in Cospicua Seafront, Cospicua at around 1300hrs.It resulted from initial investigations that the victim was hit by a Nissan March, which was being driven by a 48-year-old man from Kalkara.The woman was assisted by a medical team, taken to hospital by an ambulance and certified to have sustained grievous injuries.Police investigations are ongoing.
Publish Date: 2025-04-22",
12,True,2025-05-08 10:15,Żabbar Road,Fgura,1.0,Serious,"[{'vehicle_type': 'Ford Fiesta', 'vehicle_damage_severity': 'none', 'driver_age': 78, 'driver_gender': 'M', 'is_victim': False}]",13,"Title: Woman grievously injured in traffic accident
Content: A 32-year-old woman who lives in Għajnsielem, Gozo, at around 1015hrs, was taken to Mater Dei Hospital because she was injured in a traffic accident in Żabbar Road, Fgura.Preliminary investigations showed that the victim was hit by a Ford Fiesta, which was being driven by a 78-year-old man residing in Marsascala.The woman was assisted by a medical team, taken to hospital by ambulance and certified to have sustained grievous injuries.Police investigations are ongoing.
Publish Date: 2025-05-08",
13,True,2025-06-13 22:00,Triq Sant ‘Elizabetta,Xewkija,1.0,Serious,"[{'vehicle_type': 'Motorcycle', 'vehicle_damage_severity': 'Minor', 'driver_age': 64, 'driver_gender': 'M', 'is_victim': True}]",14,"Title: Xewkija traffic accident
Content: Yesterday evening, at around ten (2200 hrs), the Police were informed of a traffic accident in Triq Sant ‘Elizabetta, Xewkija.From initial investigations it appears that a 64-year-old man from Xagħra was riding a Kentoya motorcycle when he crashed into a barrier and fell off.He was assisted by a medical team and taken by ambulance to the Gozo General Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.
Publish Date: 2025-06-14",
14,True,2025-09-21 08:30,Sa Maison Street,Tal-Pietà,1.0,Serious,"[{'vehicle_type': 'Hyundai I10', 'vehicle_damage_severity': 'none', 'driver_age': 75, 'driver_gender': 'M', 'is_victim': False}]",15,"Title: Woman grievously injured in traffic accident
Content: A 77-year-old woman residing in Valletta, at around 0830hrs, was taken to Mater Dei Hospital because she was injured in a traffic accident in Sa Maison Street, Tal-Pietà.Preliminary investigations showed that the victim was hit by a Hyundai I10, which was being driven by a 75-year-old man residing in Tas-Sliema.The woman was assisted by a medical team, taken to hospital by ambulance and certified that she was grievously injured.Police investigations are ongoing.
Publish Date: 2025-09-21",
15,True,none,Luqa Road,Luqa,1.0,Serious,"[{'vehicle_type': 'Nissan NV 200', 'vehicle_damage_severity': 'none', 'driver_age': 22, 'driver_gender': 'M', 'is_victim': False}]",16,"Title: Man grievously injured in a traffic accident
Content: An 80-year-old man, a resident of Santa Luċija, was taken to Mater Dei Hospital for some injuries he sustained in a traffic accident in Luqa Road, Luqa.It resulted from initial investigations that the victim was hit by Nissan NV 200, which was being driven by a 22-year-old man from Għaxaq.The man was assisted by a medical team, taken to hospital by an ambulance and later certified to have sustained grievous injuries.Police investigations are ongoing.
Publish Date: 2025-04-17",
16,True,2025-02-21 07:30,Triq il-Baċir,Paola,2.0,Serious,"[{'vehicle_type': 'Toyota Ractis', 'vehicle_damage_severity': 'none', 'driver_age': 80, 'driver_gender': 'M', 'is_victim': True}]",17,"Title: Traffic accident in Paola
Content: Two persons were injured in a collision which occurred early this morning in Triq il-Baċir, Paola.At around half past seven 0730hrs, when the Police were informed of a traffic accident in which a Toyota Ractis driver, an 80-year-old man from Paola, lost control and crashed into a wall. Another 80-year-old man from Paola was also a passenger in the same vehicle.A medical team was called on site and an ambulance took the two men to Mater Dei Hospital. They were later certified to have sustained grievous injuries.Police investigations into the accident are ongoing.
Publish Date: 2025-02-21",
17,True,2024-12-22 10:15,Triq Sir Philip Pullicino,Mtarfa,1.0,Serious,"[{'vehicle_type': 'Bicycle', 'vehicle_damage_severity': 'none', 'driver_age': 13, 'driver_gender': 'F', 'is_victim': True}, {'vehicle_type': 'Car', 'vehicle_damage_severity': 'none', 'driver_age': 25, 'driver_gender': 'M', 'is_victim': False}]",18,"Title: Girl grievously injured in a traffic accident
Content: A 13-year-old girl, at around 1015hrs, was taken to Mater Dei Hospital after being injured in a traffic accident in Triq Sir Philip Pullicino, Mtarfa.Preliminary investigations showed that the girl, who was riding a bicycle, was hit by a Ford B Max that was being driven by a 25-year-old man from Mtarfa.The girl was assisted by a medical team, taken to hospital by an ambulance and later certified to have sustained grievous injuries.Police investigations are ongoing
Publish Date: 2024-12-22",
18,True,2025-02-21 13:30,Triq Nazzjonali,Floriana,1.0,Serious,"[{'vehicle_type': 'Coach', 'vehicle_damage_severity': 'none', 'driver_age': 61, 'driver_gender': 'none', 'is_victim': True}, {'vehicle_type': 'Peugeot 508', 'vehicle_damage_severity': 'none', 'driver_age': 31, 'driver_gender': 'none', 'is_victim': False}]",19,"Title: A collission in Floriana
Content: A 61-year-old coachman was grievously injured in an accident which occurred at around 1330 hrs in Triq Nazzjonali, Floriana.Preliminary investigations showed that a collision took place between a coachman who resides in Qormi and a Peugeot 508 driven by a 31-year-old man from Cospicua.A medical team was called on site and an ambulance took the man to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations into the accident are ongoing.
Publish Date: 2025-02-21",
19,True,2025-09-13 21:00,Triq il-Perit Dom Mintoff,Paola,1.0,Serious,"[{'vehicle_type': 'Honda Fit', 'vehicle_damage_severity': 'Major', 'driver_age': 54, 'driver_gender': 'M', 'is_victim': True}]",20,"Title: Man seriously injured in traffic accident
Content: A 54-year-old man, a resident of Marsa, sustained serious injuries after he was involved in a traffic accident in Triq il-Perit Dom Mintoff, Paola yesterday at around 9pm (2100 hrs).From initial investigations it appears that for some reason the driver who was driving a Honda Fit lost control and crashed into an electricity pole.A medical team assisted the man and was taken to Mater Dei Hospital by ambulance.Magistrate Dr Monica Borg Galea LL.D. was informed and appointed an inquiry while Police investigations in connection with this incident are ongoing.
Publish Date: 2025-09-14",
20,True,2025-08-29 15:15,Triq Emmanuele Luigi Galizia,Marsa,1.0,Serious,"[{'vehicle_type': 'Daelim motorcycle', 'vehicle_damage_severity': 'none', 'driver_age': 55, 'driver_gender': 'M', 'is_victim': True}, {'vehicle_type': 'BMW 318', 'vehicle_damage_severity': 'none', 'driver_age': 33, 'driver_gender': 'F', 'is_victim': False}]",21,"Title: Man grievously injured in traffic accident
Content: Yesterday, at around quarter past three in the afternoon (1515 hrs), the Police were informed of a traffic accident in Triq Emmanuele Luigi Galizia, Marsa.Preliminary investigations showed that a collision occurred between a Daelim motorcycle driven by a 55-year-old man from Birżebbuġa and a BMW 318 driven by a 33-year-old woman from Luqa. A 74-year-old man from Luqa was passenger in the car.The motorcyclist was assisted by a medical team and taken to Mater Dei Hospital by ambulance, where he was later certified to have sustained grievous injuries.Police investigations are ongoing.
Publish Date: 2025-08-30",
21,True,2024-12-13 19:45,Dawret il-Gudja,Gudja,1.0,Serious,"[{'vehicle_type': 'Skoda Fabia', 'vehicle_damage_severity': 'Minor', 'driver_age': 50, 'driver_gender': 'M', 'is_victim': False}, {'vehicle_type': 'Ford Fiesta', 'vehicle_damage_severity': 'Minor', 'driver_age': 'none', 'driver_gender': 'none', 'is_victim': False}]",22,"Title: Traffic accident in Gudja
Content: Yesterday, at around (1945hrs), the police were informed of a traffic accident in Dawret il-Gudja, Gudja.Preliminary investigations showed that a collision occurred between a Skoda Fabia driven by a 50-year-old man from Gudja and a Ford Fiesta, who at the time was on the side of the road with a puncture.At the time of the impact, a 29-year-old man from Birzebbugia was injured after he was trapped between the two vehicles.The victim was assisted by a medical team, taken to Mater Dei Hospital by ambulance and certified with serious injuries.Magistrate Dr Ian Farrugia LL. D was informed of the case and appointed an inquiry.Civil Protection Department personnel were also on site to assist.Police investigations are still ongoing.
Publish Date: 2024-12-14",
22,True,2025-05-07 10:00,Triq L. Zamenhof corner with Triq Xmiexi,Msida,1.0,Serious,"[{'vehicle_type': 'Ford Transit', 'vehicle_damage_severity': 'none', 'driver_age': 24, 'driver_gender': 'M', 'is_victim': False}]",23,"Title: Man grievously injured in traffic accident
Content: A 53-year-old man who lives in Msida, at around 1000hrs, was taken to Mater Dei Hospital because he was injured in a traffic accident in Triq L. Zamenhof corner with Triq Xmiexi, Msida.Preliminary investigations showed that the man was hit by a Ford Transit, which was being driven by a 24-year-old man also residing in Msida.The man was assisted by a medical team, taken to hospital by ambulance and certified to have sustained grievous injuries.Police investigations are ongoing.
Publish Date: 2025-05-07",
23,True,2025-05-07 13:15,Triq Għar Dalam,Birżebbuġa,1.0,Serious,"[{'vehicle_type': 'Peugeot Partner', 'vehicle_damage_severity': 'none', 'driver_age': 23, 'driver_gender': 'none', 'is_victim': False}, {'vehicle_type': 'Honda NSS motorcycle', 'vehicle_damage_severity': 'none', 'driver_age': 34, 'driver_gender': 'none', 'is_victim': True}]",24,"Title: Traffic accident in Birżebbuġa
Content: Today, at around 1315 hrs, the Police were informed of a traffic accident in Triq Għar Dalam, Birżebbuġa.Preliminary investigations showed that a collision occurred between a Peugeot partner that was being driven by a 23-year-old Albanian from Birżebbuġa and a Honda NSS motorcycle that was being driven by a 34-year-old man from Zejtun.A medical team was called on site and an ambulance took the biker to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations into the accident are ongoing.
Publish Date: 2025-05-07",
24,True,2024-12-27 07:45,Triq Diċembru Tlettax,Marsa,1.0,Serious,"[{'vehicle_type': 'Toyota Vitz', 'vehicle_damage_severity': 'Major', 'driver_age': 36, 'driver_gender': 'none', 'is_victim': True}]",25,"Title: Marsa traffic accident
Content: Today, at about 0745hrs, the Police were informed of a traffic accident in Triq Diċembru Tlettax, Marsa.The Police went immediately on site and preliminary investigations showed that a 36-year-old Turkish national, resident in Zabbar, lost control of the Toyota Vitz he was driving and crashed into the barriers and a pole.The victim was assisted by a medical team, taken to Mater Dei Hospital by ambulance and certified to have sustained grievous injuries.Civil Protection Department personnel were also on site to assist.Police investigations are still ongoing.
Publish Date: 2024-12-27",
25,True,2025-05-04 14:30,December 13 Road,Marsa,1.0,Serious,"[{'vehicle_type': 'Motorcycle', 'vehicle_damage_severity': 'none', 'driver_age': 43, 'driver_gender': 'M', 'is_victim': True}]",26,"Title: Motorcycle accident in Marsa
Content: A 43-year-old Nepalese man and residing in Msida, at around 1430hrs, was taken to Mater Dei Hospital because he was injured in a traffic accident in December 13 Road, Marsa.Preliminary investigations showed that the man was riding a Kymco motorcycle, lost control and crashed into a pole.He was assisted by a medical team, taken to hospital by ambulance and certified to have sustained serious injuries.Magistrate Dr Ian Farrugia LL.D was informed of the case and appointed an inquiry, while Police investigations are ongoing
Publish Date: 2025-05-04",
26,True,2025-01-07 21:20,Triq L-Imdina,Attard,0.0,Fatal,"[{'vehicle_type': 'Mercedes', 'vehicle_damage_severity': 'Major', 'driver_age': 25, 'driver_gender': 'M', 'is_victim': True}]",27,"Title: Attard fatal accident
Content: A 25-year-old man, a resident of Mtarfa, lost his life late last night in a traffic accident in Attard.The accident occurred at around 2120hrs in Triq L-Imdina.Preliminary investigations showed that the victim was driving a Mercedes, lost control and as a result the car crashed into a tree. Police, medical teams from Mater Dei and members of the Civil Protection Department were immediately called on site. Unfortunately, the man was certified dead on the spot.Magistrate Dr Ian Farrugia LL.D appointed an inquiry assisted by various experts, while Police investigations in connection with this incident are still ongoing.
Publish Date: 2025-01-07",
27,True,2025-10-04 23:00,Triq Dawret il-Gudja,Gudja,3.0,Serious,"[{'vehicle_type': 'Suzuki Baleno', 'vehicle_damage_severity': 'none', 'driver_age': 49, 'driver_gender': 'M', 'is_victim': False}, {'vehicle_type': 'Hyundai Getz', 'vehicle_damage_severity': 'none', 'driver_age': 19, 'driver_gender': 'none', 'is_victim': False}, {'vehicle_type': 'Renault Captur', 'vehicle_damage_severity': 'none', 'driver_age': 50, 'driver_gender': 'M', 'is_victim': False}]",28,"Title: Traffic accident in Gudja
Content: Late yesterday evening, at around 11:00 p.m. (2300hrs), the Police were informed of a traffic accident in Triq Dawret il-Gudja, Gudja.Police immediately went to the scene, and from preliminary investigations it resulted that a collision had occurred between a Suzuki Baleno driven by a 49-year-old man from Swieqi and a Hyundai Getz driven by a 19-year-old from San Ġwann. Followwing the intial impact, the Hyundai veered into the opposite lane and collided with a Renault Captur.The Renault was driven by a 50-year-old man. Also inside the vehicle were two women aged 69 and 43, as well as a 14-year-old girl and a 14-year-old boy, all residents of Rabat.A medical team was called to the scene, and an ambulance took the 43-year-old woman together with the two children to Mater Dei Hospital. Later, the 14-year-old boy was certified to have suffered grievous injuries, while the girl and the 43-year-old woman suffered slight injuries.Police investigations into this accident are still ongoing.
Publish Date: 2025-10-05",
28,True,2025-06-04 07:30,Xatt l-Għassara tal-Għeneb,il-Marsa,1.0,Serious,"[{'vehicle_type': 'Car', 'vehicle_damage_severity': 'none', 'driver_age': 39, 'driver_gender': 'M', 'is_victim': False}, {'vehicle_type': 'Motorcycle', 'vehicle_damage_severity': 'none', 'driver_age': 35, 'driver_gender': 'F', 'is_victim': True}]",29,"Title: Car-motorcycle collision in Marsa
Content: Today, at around 0730hrs, the Police were informed of a traffic accident in Xatt l-Għassara tal-Għeneb, il-Marsa.Preliminary investigations showed that a collision occurred between a Ford Fiesta driven by a 39-year-old man residing in Xgħajra and a Honda motorcycle driven by a 35-year-old woman who lives in Dingli.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital, where she was certified to have sustained grievous injuries.Police investigations are ongoing.
Publish Date: 2025-06-04",
29,True,2025-09-17 23:30,Triq il-Mina ta’ Hompesch,Ħaż-Żabbar,1.0,Serious,"[{'vehicle_type': 'Toyota Vitz', 'vehicle_damage_severity': 'none', 'driver_age': 26, 'driver_gender': 'M', 'is_victim': False}]",30,"Title: Man suffers serious injuries in traffic accident
Content: A 52-year-old man from Żurrieq, at around 2330hrs, was taken to Mater Dei Hospital after suffering injuries in a traffic accident in a parking lot on Triq il-Mina ta’ Hompesch, Ħaż-Żabbar.Initial investigations revealed that the victim was hit by a Toyota Vitz, which was being driven by a 26-year-old man resident in Kalkara.The man was treated by a medical team, taken to hospital by ambulance and certified as having suffered serious injuries.Magistrate Dr Philip Galea Farrugia LL.D was informed of the case and an inquiry was opened, while investigations by the Police are still ongoing.
Publish Date: 2025-09-17",
30,True,2025-04-18 13:30,Triq Burmarrad,St Paul’s Bay,1.0,Serious,"[{'vehicle_type': 'Car', 'vehicle_damage_severity': 'none', 'driver_age': 31, 'driver_gender': 'F', 'is_victim': False}, {'vehicle_type': 'Motorcycle', 'vehicle_damage_severity': 'none', 'driver_age': 72, 'driver_gender': 'M', 'is_victim': True}]",31,"Title: Car-motorcycle collision in St Paul&#8217;s Bay
Content: Today, at around 1330hrs, the Police were informed of a traffic accident in Triq Burmarrad, St Paul’s Bay.Preliminary investigations showed that a collision occurred between a Mazda Demio driven by a 31-year-old Czech Republic woman residing in Mosta and a Piaggio motorcycle driven by a 72-year-old man who lives in Birkirkara.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.
Publish Date: 2025-04-18",
31,True,2025-07-06 18:00,Triq iż-Żejfa,Mosta,1.0,Serious,"[{'vehicle_type': 'Car', 'vehicle_damage_severity': 'none', 'driver_age': 34, 'driver_gender': 'F', 'is_victim': False}, {'vehicle_type': 'Motorcycle', 'vehicle_damage_severity': 'none', 'driver_age': 30, 'driver_gender': 'M', 'is_victim': True}]",32,"Title: Car-motorcycle collision in Mosta
Content: Yesterday, at around 1800hrs, the Police were informed of a traffic accident in Triq iż-Żejfa, Mosta.Preliminary investigations showed that a collision occurred between a Kia Sportage driven by a 34-year-old woman from Rabat and a Suzuki motorcycle driven by a 30-year-old Indian man who lives in Birkirkara.A medical team was called on site and an ambulance took the man to Mater Dei Hospital, where he was certified to be seriously injured.Magistrate Dr Joseph Mifsud LL.D was informed about the case who appointed an inquiry, while Police investigations are ongoing.
Publish Date: 2025-07-07",
32,True,2025-04-17 09:30,Tal-Barrani Road,Żejtun,1.0,Serious,"[{'vehicle_type': 'Car', 'vehicle_damage_severity': 'none', 'driver_age': 46, 'driver_gender': 'M', 'is_victim': False}, {'vehicle_type': 'Motorcycle', 'vehicle_damage_severity': 'none', 'driver_age': 79, 'driver_gender': 'M', 'is_victim': True}]",33,"Title: Car-motorcycle collision in Żejtun
Content: Today, at around 0930hrs, the Police were informed of a traffic accident in Tal-Barrani Road, Żejtun.The Police went immediately on site and preliminary investigations showed that a collision had occurred between a Mazda Demio driven by a 46-year-old man residing in Żejtun and a Honda motorcycle driven by a 79-year-old man also living in Żejtun.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.
Publish Date: 2025-04-17",
33,True,2025-05-15 17:45,Regional Road,Santa Venera,1.0,Serious,"[{'vehicle_type': 'Toyota Vitz', 'vehicle_damage_severity': 'none', 'driver_age': 19, 'driver_gender': 'F', 'is_victim': False}, {'vehicle_type': 'Honda motorcycle', 'vehicle_damage_severity': 'none', 'driver_age': 22, 'driver_gender': 'F', 'is_victim': True}]",34,"Title: Traffic accident in Santa Venera
Content: A 22-year-old man and residing in Rabat, at around 1745hrs, was taken to Mater Dei Hospital because she was injured in a traffic accident in Regional Road, Santa Venera.Preliminary investigations showed that a collision occurred between a Toyota Vitz driven by a 19-year-old woman residing in Żurrieq and a Honda motorcycle driven by the victim.She was assisted by a medical team, taken to hospital by ambulance and certified to have sustained grievous injuries.Police investigations are ongoing.
Publish Date: 2025-05-15",
