id,title,content,date_published,accident_datetime,street,city,A_accident_severity,A_driver_age,A_driver_gender,A_number_injured,A_vehicle_type,B_accident_severity,B_driver_age,B_driver_gender,B_number_injured,B_vehicle_type,C_accident_severity,C_driver_age,C_driver_gender,C_number_injured,C_vehicle_type,D_accident_severity,D_driver_age,D_driver_gender,D_number_injured,D_vehicle_type,accident_date_id
article_3966.0,"Cyclist, 13, grievously injured by car in Mtarfa",A 13-year-old girl was grievously injured when she was hit by a car while cycling along Triq Sir Philip Pullicino in Mtarfa. The police said in a statement the accident was reported at 10.15am on Sunday.  The car - a Ford B Max - was bring driven by a 25-year-old from Mtarfa. She was given first aid on site before being rushed to hospital. Police investigations are ongoing.,2024-12-22,2024-12-22 10:15:00,triq sir philip pullicino,mtarfa,not injured,25,Unknown,0,Car,Grievious,13,F,1,Bicycle,,,,,,,,,,,20241222
article_3704.0,Driver killed in Attard road crash had hit teen cyclist in December,"Alejandro Brincat, Malta’s first crash victim of the year, was driving a car that hit a teen cyclist 15 days before his fatal accident, sources confirmed with Times of Malta on Wednesday. Brincat, a father of two and football player with Vittoriosa Stars, died after he lost control of the Mercedes he was driving and ended up wedged vertically against a signpost at 9pm on Monday.  The 25-year-old’s death triggered an outpouring of grief from friends and family, with many paying tributes to the talented footballer and beloved father. Police and government sources confirmed with Times of Malta that Brincat was involved in an accident in Mtarfa just weeks before, leaving a 13-year-old girl grievously injured after being hit by a car while cycling in Mtarfa.  The incident happened on December 22 along Triq Sir Philip Pullicino, when a car, a Ford B Max, driven by a 25-year-old hit the young girl. She was given first-aid on-site before being rushed to hospital.  Sources said that after the accident, Brincat’s car was impounded by the police.  The Mercedes involved in the fatal accident on Monday was not his.  Times of Malta understands that residents of Mtarfa, where Brincat was from, had previously complained about the young man's driving habits.  Dashcam video of the fatal crash seen by Times of Malta shows an over-speeding car swerving out of control, hitting a crash barrier and then rising up, flying into a signpost.  Magistrate Ian Farrugia has opened an inquiry into the crash but magisterial inquiries are secret so the results are unlikely to ever be published.  A Transport Safety Investigative Commission due to have been set up in 2023 has been beset by delays.",2025-01-08,2024-12-22 10:15:00,triq sir philip pullicino,mtarfa,Grievious,13,F,1,Bicycle,not injured,25,M,1,car,,,,,,,,,,,20241222
article_3910.0,Bus driver dies day after Regional Road crash,"A 37-year-old bus driver has died after succumbing to his injuries following a traffic collision on Monday. The man was named 37-year-old Hussein Shah by his employer, bus company Tallinja.  Shah was critically hurt in a collision with a van that forced the temporary closure of Regional Road on Monday.  In a statement on Tuesday, police said that Shah had died at Mater Dei Hospital.   Tallinja said that Shah was a Pakistani national and a father of four children, adding that they are deeply saddened by his loss.  He joined the company earlier this year, having previously worked as a bus driver and school bus driver in the United Arab Emirates.  ""Our thoughts and prayers go out to his family and friends in these difficult times,"" they said.  The incident happened yesterday at 10.30am on the southbound lane of Regional Road.  The bus, which was not carrying passengers, ended up straddling the centre strip and debris was spread over a wide area, causing the closure of busy traffic lanes. The van was driven by a 39-year-old woman from Naxxar who was not seriously hurt.",2024-12-24,2024-12-23 10:30:00,regional road,msida,Fatal,37,M,1,bus,Slight,39,F,1,van,,,,,,,,,,,20241223
article_3938.0,Bus driver critically injured in crash with van on Regional Road,"A bus driver, 37, was critically injured in a collision with a van on the Regional Road on Monday morning.  The accident happened at 10.30am on a southbound lane just after the tunnels. The bus, which was not carrying passengers, ended up straddling the centre strip and debris was spread over a wide area, causing the closure of busy traffic lanes. An eyewitness said she saw the bus driver lying on the road with blood on his head. The van was driven by a 39-year-old woman from Naxxar who was not seriously hurt.",2024-12-23,2024-12-23 10:30:00,regional road,msida,Serious,37,M,1,bus,Slight,39,F,1,van,,,,,,,,,,,20241223
release_46,Collision between a bus and a van in St Julian&#8217;s,"This morning, at around 1030hrs, the Police were informed about a traffic accident in Triq Mikiel Anton Vassalli, St Julian’s.Preliminary investigations by the Police showed that there was a collision between an Otokar Vectio bus that was being driven by a 37-year-old man from Marsaskala and a Ford Tourneo Courier van that was being driven by a 39-year-old woman from Naxxar.The bus driver was assisted by a medical team and taken to Mater Dei Hospital by an ambulance for further treatment. He was later certified as suffering from serious injuries. The woman of the other vehicle was not injured.Magistrate Dr Philip Galea Farrugia LL.D was informed of the case and appointed an inquiry, while Police investigations are ongoing.",2024-12-23,23/12/2024 10:30,triq mikiel anton vassalli,st julians,Serious,37,M,1,Bus,not injured,39,F,0,Van,,,,,,,,,,,20241223
release_59,Traffic accident in St Julian&#8217;s,"Yesterday, at around 1530hrs, the Police were informed about a traffic accident in Mikiel Anton Vassalli Street, St Julian’s.Preliminary investigations showed that a 28-year-old man from Żejtun lost control of the BMW he was driving and overturned. A 25-year-old man from Zejtun was also in the vehicle.The 25-year-old was assisted by a medical team, taken to Mater Dei Hospital by an ambulance and certified to have sustained grievous injuries.Members of the Civil Protection Department were also on site to assist.The Police are investigating the case.",2024-12-26,25/12/2024 15:30,mikiel anton vassalli street,st julians,Grievious,28,M,1,Car,,,,,,,,,,,,,,,,20241225
release_56,Motorcycle-truck collision in Żejtun,"Today, at around noon, the Police were informed of a traffic accident in Triq il-Ħotba, Żejtun.Preliminary investigations showed that a collision occurred between a Honda motorcycle driven by a 62-year-old woman residing in Ħamrun and an Isuzu truck driven by a 25-year-old Indian man residing in Luqa.The woman was assisted by a medical team and taken to Mater Dei Hospital by ambulance, where she was certified to have sustained grievous injuries.Police investigations are still ongoing.",2024-12-27,27/12/2024 12:00,triq il-hotba,zejtun,Grievious,62,F,1,Motorbike,not injured,25,M,0,Van,,,,,,,,,,,20241227
article_3885.0,Man injured after crashing into barriers and light post in Marsa,"A man was injured on Friday after an early morning crash that saw him colliding with traffic barriers in Marsa.  Police said in a statement that it was informed of a traffic collision on Triq Diċembru Tlettax at around 7.45am.  When officers arrived on the scene they found that a 36-year-old Turkish national, residing in Żabbar, had lost control of the Toyota Vitz he was driving and crashed into the barriers and a light post.  The man was given first aid on site but was later taken to Mater Dei hospital where he was certified as having sustained grievous injuries.  The Civil Protection Department were also on assisting on the site.  A police investigation into the matter is still ongoing.",2024-12-27,2024-12-27 07:45:00,triq dicembru tlettax,marsa,Grievious,36,M,1,Car,,,,,,,,,,,,,,,,20241227
article_3900.0,Woman seriously injured in traffic accident in Żejtun,"A 62-year-old woman from Ħamrun was taken to hospital with serious injuries Friday after being involved in a traffic accident in Żejtun shortly before midday.  The accident occurred on Triq il-Ħotba.  Initial investigations suggest the Honda motorcycle ridden by the woman was involved in a collision with an Isuzu truck driven by a 25-year-old Ħal Luqa resident. The woman was treated at the scene before being taken to Mater Dei Hospital, where her injuries were certified as serious. Police investigations are ongoing.",2024-12-27,2024-12-27 11:30:00,triq il-hotba,zejtun,Serious,62,F,1,Motorbike,not injured,25,M,0,Van,,,,,,,,,,,20241227
release_25,Marsa traffic accident,"Today, at about 0745hrs, the Police were informed of a traffic accident in Triq Diċembru Tlettax, Marsa.The Police went immediately on site and preliminary investigations showed that a 36-year-old Turkish national, resident in Zabbar, lost control of the Toyota Vitz he was driving and crashed into the barriers and a pole.The victim was assisted by a medical team, taken to Mater Dei Hospital by ambulance and certified to have sustained grievous injuries.Civil Protection Department personnel were also on site to assist.Police investigations are still ongoing.",2024-12-27,27/12/2024 07:45,triq dicembru tlettax,marsa,Grievious,36,M,1,Car,,,,,,,,,,,,,,,,20241227
release_10,Number of persons hospitalised following Żabbar accident,"Today, at around quarter past nine in the morning (0915 hrs), assistance was requested in St James Square, Zabbar after a vehicle hit a number of people.The Police went immediately on site together with a number of ambulances and members of the Civil Protection Department.It resulted from initial investigations that a 79-year-old man, from Zabbar, lost control of the vehicle he was driving and accidentally hit some persons. He was taken to Mater Dei Hospital for observation, but it was later confirmed that he was not injured.Four women, aged 39, 66, 77 and 84, and two men aged 36 and 81, all residing in Zabbar, were taken to Mater Dei Hospital by ambulances. The 84-year-old woman was later certified as suffering from grievous injuries and the others were certified as suffering from slight injuries. Three other persons were treated at the scene of the accident.Police investigations in connection with this incident are ongoing.",2024-12-28,28/12/2024 09:15,st james square,zabbar,Grievious,79,M,9,unknown,,,,,,,,,,,,,,,,20241228
article_3766.0,Three in hospital following Birkirkara bypass crash,"Updated 12.30pm Three people were taken to hospital on Sunday morning following a two-car collision on the Birkirkara bypass. Two of those involved were grievously injured, the police said.  The collision was reported at around 7am and involved a Honda Fit and Suzuki Swift.  A 72-year-old man driving the Honda and his 66-year-old female passenger, both from Iklin, had to be extracted from the vehicle with the help of Civil Protection Department officials. Both were taken to Mater Dei Hospital with grievous injuries.  A 28-year-old male from Żebbuġ who was driving the Suzuki was also taken to hospital but only suffered minor injuries in the crash. No details about their medical conditions were available at the time of writing.",2025-01-05,2025-01-05 07:00:00,birkirkara bypass,birkirkara,Grievious,72,M,2,Car,Slight,28,M,1,Car,,,,,,,,,,,20250105
article_3749.0,"Two hurt, one critically, after being hit by pickup in Fgura","Two women were badly injured when they were hit by a pickup truck in Fgura on Monday evening. The victims, who are aged 34 and 24 and Nepalese nationals, were on Triq Hompesh at around 8pm when a Toyota Hilux driven by a 20-year-old woman from Birżebbuġa hit them. Both women were given first aid on-site and rushed to Mater Dei Hospital by ambulance. The 24-year-old victim suffered serious injuries and is in a critical condition. The 34-year-old was grievously injured. Magistrate Ian Farrugia is leading a probe into the incident. The incident was one of two major crashes reported on Monday night. In a separate incident, a 25-year-old died after smashing into a tree and signpost in Attard.",2025-01-07,2025-01-06 20:00:00,triq hompesch,fgura,not injured,20,F,0,Van,Grievious,34,F,1,Pedestrian,Serious,24,F,1,Pedestrian,,,,,,20250106
release_84,Fgura traffic accident,"Update:Unfortunately, the 24-year-old woman recently lost her life at Mater Dei Hospital.The Magisterial Inquiry and Police investigations are ongoing.Earlier:Yesterday, at around 2000hrs, two women, aged 34 and 24 from Nepal, were taken to Mater Dei Hospital after being injured in a traffic accident in Triq Hompesh, Fgura.It resulted from initial investigations that the two women were hit by a Toyota Hilux that was being driven by a 20-year-old woman from Birżebbuġa.The victims were assisted by a medical team and taken to hospital by an ambulance where the 24-year-old woman was later certified to have sustained grievous injuries while the other woman was certified to have sustained grievous injuries.Magistrate Ian Farrugia LL.D was informed about the case who opened an inquiry while Police investigations are still ongoing.",2025-01-07,06/01/2025 20:00,triq hompesh,fgura,Fatal,20,F,1,Van,Serious,20,F,1,Van,,,,,,,,,,,20250106
release_27,Attard fatal accident,"A 25-year-old man, a resident of Mtarfa, lost his life late last night in a traffic accident in Attard.The accident occurred at around 2120hrs in Triq L-Imdina.Preliminary investigations showed that the victim was driving a Mercedes, lost control and as a result the car crashed into a tree. Police, medical teams from Mater Dei and members of the Civil Protection Department were immediately called on site. Unfortunately, the man was certified dead on the spot.Magistrate Dr Ian Farrugia LL.D appointed an inquiry assisted by various experts, while Police investigations in connection with this incident are still ongoing.",2025-01-07,06/01/2025 21:20,triq l-imdina,attard,Fatal,25,M,1,Car,,,,,,,,,,,,,,,,20250106
article_3747.0,A true gentleman': Tributes paid to crash victim Alejandro Brincat,"Tributes have been paid to a talented footballer who was killed in a car crash in Attard on Monday night. The crash happened on the Mdina road at around 9pm when the car driven by Alejandro Brincat jumped the crash barrers and smashed into a tree and signpost. The 25-year-old's death triggered an outpouring of grief from friends and family, with many expressing sorrow for the loss of a father of two young girls.  A midfielder with Vittoriosa Stars, several football clubs and associations in the local football community took to social media to express their sorrow at Brincat's death.  His club said they were “heartbroken” at his passing.  “Alejandro was a true gentleman and a very respected player within the team. Our number #99 will be deeply missed by all of us and also for sure by those who knew him,” Vittoriosa Stars said in a post on social media.  “Our thoughts and prayers are with his family during this difficult time. May he rest in peace.”   Lawyer Robert Thake said that while many were remembering Brincat for his success on the football pitch, little was being said about what a dedicated father he was.  ""Alejandro fought like hell - but with dignity - to spend as much time as he could with his daughter, and after over two years of fighting in court he finally got to spend Christmas Day with his daughter,"" he said.  He is survived by his daughters Ella and Kyra.",2025-01-07,2025-01-06 21:00:00,mdina road,attard,Fatal,25,M,1,car,,,,,,,,,,,,,,,,20250106
article_3740.0,"Man, 25, dies after car jumps crash barriers and crashes into tree in Attard","Updated 9.40am A 25-year-old man has died after the car he was driving jumped a crash barrier in Attard and smashed into a tree and a signpost late on Monday evening.  The victim was later identified as Alejandro Brincat, a father of two and football player with Vittoriosa Stars.  The incident occurred at around 9pm on Mdina Road in Attard, with the man losing control of the vehicle and the Mercedes ending up wedged vertically against the signpost.  Police, CPD and a medical team from Mater Dei Hospital were on site on Monday, closing off the road to extract the driver from the vehicle. Dashcam video of the crash seen by Times of Malta shows an overspeeding car swerving out of control, hitting a crash barrier and then rising up it, flying into a signpost. Times of Malta is choosing not to publish the disturbing footage.  Within minutes of his death being reported on Tuesday morning, tributes began to pour in for Brincat. The 25-year-old from Mtarfa is the first road fatality of 2025.  Magistrate Ian Farrugia has opened an inquiry into the incident.  It was the second major traffic incident reported on Monday night. Roughly one hour earlier in Fgura, two women were rushed to hospital after they were hit by a 20-year-old driver of a pickup truck in Fgura. One of the victims was seriously injured.",2025-01-07,2025-01-06 21:00:00,mdina road,attard,Fatal,25,M,1,Car,,,,,,,,,,,,,,,,20250106
article_3699.0,"Today's front pages – January 8, 2025","The following are the top stories in Malta's newspapers on Wednesday. All newspapers lead with news that Alejandro Brincat, 25, died when the car he was driving jumped a crash barrier in Attard and smashed into a tree and a signpost late on Monday. Times of Malta also reports on its front page that environmental activists and the Opposition expressed their shock at former Planning Authority CEO Johann Buttigieg’s reappointment. The Malta Independent meanwhile reports that Buttigieg officially found out about his appointment as PA CEO through the media.  MaltaToday leads with data showing that applications for planning permits increased by 12% for 2024. In-Nazzjon publishes comments by PN leader Bernard Grech who insisted that the Attorney General should publish the 17 Black inquiry.  L-orizzont focuses on the government's presentation of the island's plan for energy and climate to the European Commission.",2025-01-08,2025-01-06 21:00:00,mdina road,attard,Fatal,25,M,1,car,,,,,,,,,,,,,,,,20250106
article_3671.0,Elderly passenger injured in Rabat crash,"An 83-year-old woman was injured on Thursday after the car she was in crashed into a wall in Rabat.  The incident happened at around 11am in Triq Għeriexem, where police found that a Suzuki Alto being driven by a 56-year-old woman from San Ġwann had been involved in a crash. The 83-year-old, also from San Ġwann, was in the passenger seat of the car.  The 56-year-old lost control of the car and crashes into a light post and a wall.   The two women were treated on site by a medical team and members of the civil protection department before being taken to Mater Dei Hospital by ambulance.  Later the 83-year-old was certified as having grievous injuries while the 56-year-old was only lightly injured.  A police investigation into the matter is ongoing.",2025-01-09,2025-01-09 11:00:00,triq gheriexem,rabat,Grievious,56,F,2,Car,,,,,,,,,,,,,,,,20250109
article_3601.5,Two motorcyclists injured in separate accidents,"Two motorcyclists were injured in separate accidents on Wednesday morning, police said.  The first happened at 7.45am in Anton Cassar Street, Marsa, when a motorcycle and a car collided. The victim was a 21-year-old man from Fgura, who was hospitalised. The car was driven by a 21-year-old woman from Qormi, who was unhurt. In the second accident at Tal-Barrani Road a 30-year-old Italian man fell off his motorcycle at about 8am. Both motorcyclists were treated for their injuries in hospital.",2025-01-15,2025-01-15 07:45:00,anton cassar street,marsa,not injured,21,F,0,Car,Serious,30,M,1,Motorbike,,,,,,,,,,,20250115
release_80,Persons injured in separate traffic accidents,"Two men were taken to Mater Dei Hospital after being injured in two separate traffic accidents earlier today.The first accident occurred at around 0745hrs, in Triq Anton Cassar, Marsa. Preliminary investigations showed that a collision occurred between a Suzuki motorcycle driven by a 21-year-old man residing in Fgura and a Toyota Vitz driven by a 21-year-old woman residing in Qormi.The second incident happened at around 0800hrs, in Triq Tal-Barrani, Żejtun. Preliminary investigations showed that a 30-year-old Italian man, who lives in Għaxaq, was riding a Yamaha motorcycle, lost control and fell.A medical team assisted in both accidents and the two motorcyclists were taken to hospital by ambulance for medical treatment, where they were certified to have sustained grievous injuries.Police investigations are ongoing.",2025-01-15,15/01/2025 07:45,triq anton cassar,marsa,Grievious,21,M,1,Motorbike,not injured,21,F,0,Car,,,,,,,,,,,20250115
release_88,Man grievously injured in traffic accident,"A 63-year-old man who lives in Żurrieq, at around 1930hrs, was taken to Mater Dei Hospital because he was injured in a traffic accident in Blue Grotto Avenue, Żurrieq.Preliminary investigations showed that the man was hit by a Citroen Saxo, which was being driven by a 19-year-old man residing in Luqa.The man was assisted by a medical team, taken to hospital by ambulance and certified to have sustained grievous injuries.Police investigations are ongoing.",2025-01-15,15/01/2025 19:30,blue grotto avenue,zurrieq,Grievious,19,M,1,Car,,,,,,,,,,,,,,,,20250115
release_800,Persons injured in separate traffic accidents,"Two men were taken to Mater Dei Hospital after being injured in two separate traffic accidents earlier today.The first accident occurred at around 0745hrs, in Triq Anton Cassar, Marsa. Preliminary investigations showed that a collision occurred between a Suzuki motorcycle driven by a 21-year-old man residing in Fgura and a Toyota Vitz driven by a 21-year-old woman residing in Qormi.The second incident happened at around 0800hrs, in Triq Tal-Barrani, Żejtun. Preliminary investigations showed that a 30-year-old Italian man, who lives in Għaxaq, was riding a Yamaha motorcycle, lost control and fell.A medical team assisted in both accidents and the two motorcyclists were taken to hospital by ambulance for medical treatment, where they were certified to have sustained grievous injuries.Police investigations are ongoing.",2025-01-15,15/01/2025 07:45,triq tal-barrani,zejtun,Grievious,30,M,1,Motorbike,,,,,,,,,,,,,,,,20250115
article_3601.0,Two motorcyclists injured in separate accidents,"Two motorcyclists were injured in separate accidents on Wednesday morning, police said.  The first happened at 7.45am in Anton Cassar Street, Marsa, when a motorcycle and a car collided. The victim was a 21-year-old man from Fgura, who was hospitalised. The car was driven by a 21-year-old woman from Qormi, who was unhurt. In the second accident at Tal-Barrani Road a 30-year-old Italian man fell off his motorcycle at about 8am. Both motorcyclists were treated for their injuries in hospital.",2025-01-15,2025-01-15 07:45:00,anton cassar street,marsa,Serious,21,M,1,Motorbike,,,,,,,,,,,,,,,,20250115
article_3586.0,"Pedestrian, 63, run over by car in Sliema","A 63-year-old pedestrian was injured in Sliema when he was hit by a car at around 4.45pm on Wednesday. The police said the accident was reported at 4.45pm on Triq Ġuże' Howard corner with Triq Għar Id-Dud. Both roads have been closed to traffic.  The person behind the wheel of the Toyota Aygo that hit the man has been identified as a 36-year-old Indian national from San Ġwann. The pedestrian, from Sliema, was rushed to Mater Dei Hospital. His condition remains unknown. Police investigations are ongoing.",2025-01-15,2025-01-15 16:45:00,triq guze' howard corner with triq ghar id-dud,sliema,not injured,36,M,0,Car,Serious,63,M,1,Pedestrian,,,,,,,,,,,20250115
article_3551.0,Motorcyclist grievously injured in Naxxar crash,"A 34-year-old motorcyclist was grievously injured in a crash at 10.15am in Naxxar on Thursday. The police said the accident, on Triq il-Fortizza tal-Mosta involved a Vauxhall driven by a 45-year-old woman from Naxxar and a Daelim motorbike driven by the man, a Mosta resident. The man was given first aid on site and rushed to Mater Dei Hospital. Police investigations are ongoing.",2025-01-16,2025-01-16 10:15:00,triq il-fortizza tal-mosta,naxxar,not injured,45,F,0,car,Serious,34,M,1,Motorbike,,,,,,,,,,,20250116
release_50,Naxxar traffic accident,"Today, at around 1015hrs, the Police were informed of a traffic accident in Triq il-Fortizza tal-Mosta, Naxxar.Preliminary investigations showed that a collision occurred between a Vauxhall driven by a 45-year-old woman from Naxxar and a Daelim motorcycle driven by a 34-year-old man from Mosta.The man was assisted by a medical team and taken to Mater Dei Hospital by ambulance for further medical attention. He was later certified to have sustained grievous injuries.Police investigations are ongoing.",2025-01-16,16/01/2025 10:15,triq il-fortizza tal-mosta,naxxar,not injured,45,F,0,Car,Grievious,34,M,1,Motorbike,,,,,,,,,,,20250116
article_102356.0,Watch: Alleged Bidnija killer rams car in road rage incident in January,"A man accused of the recent Bidnija murder was at the wheel of a truck that appeared to have deliberately ploughed into a vehicle in an incident last January, according to footage obtained by Times of Malta. The alleged road rage incident shows the large vehicle driving straight into the car on the road as a man is seen trying to close the back passenger door. Mohamed Hamdan was later identified as the driver of the truck. The incident happened on January 20 on Triq it-Turisti in St Paul’s Bay. Hamdan, 46, who has a history of crime, stands accused of killing Jean Paul Busuttil following a collision between the two on a country lane in Bidnija early on June 29. He is pleading not guilty to all charges.  Surveyors’ reports seen by Times of Malta detail the extensive damage sustained by the car of the victim, who is still chasing his money. One of the reports states that the car sustained “very extensive damages on the left side panels, rear and right front”. The collision also caused the left side airbags to deploy. The left side panels were pushed onto the passenger’s compartment. The rear extensive damage affected the tailgate, rear panel, tow bar, rear trim and rear right wing. It estimated the total repair costs at €13,759. The surveyor appointed by the insurance estimated the repair works at €15,658. Questions have been sent to the police about the case. Times of Malta understands that they are expected to take action.",2025-07-14,2025-01-20 00:00:00,triq it-turisti,st paul's bay,not injured,46,M,0,van,not injured,none,none,0,car,,,,,,,,,,,20250120
article_3456.0,Motorcyclist injured in Sliema accident,"A motorcyclist sustained serious injuries after a traffic accident in Sliema on Wednesday night.  The police said the incident between a Dacia Duster, driven by a 47-year-old Filipino national, and a Kymco Agility motorbike, driven by a 51-year-old Sliema resident took place in Rudolph Street at around 6pm.  The motorcyclist was given first aid on the spot before he was rushed to hospital in an ambulance. His injuries are considered grievous.  Police are investigating.",2025-01-23,2025-01-22 18:00:00,rudolph street,sliema,not injured,47,M,0,Car,Grievious,51,M,1,Motorbike,,,,,,,,,,,20250122
release_105,Sliema traffic accident,"Yesterday, at around 1800 hrs, the Police were informed of a traffic accident in Triq Rodolfu, Sliema.Preliminary investigation showed that a collision occurred between a Dacia Duster that was being driven by a 47-year-old Filipino man from Santa Venera and a Kymco Agility motorcycle that was being driven by a 51-year-old man from Sliema.The biker was assisted by a medical team and taken to Mater Dei Hospital by an ambulance for further medical attention. He was later certified to have sustained grievous injuries.The Police are investigating the case.",2025-01-23,22/01/2025 18:00,triq rodolfu,sliema,not injured,47,M,0,Car,Grievious,51,M,1,Motorbike,,,,,,,,,,,20250122
article_3442.0,Motorcyclist dies in crash inside Tal-Qroqq tunnels,"A 36-year-old man has died after crashing his motorcycle in the Tal-Qroqq tunnels yesterday evening, police have said.  The incident happened at around 8.15pm on Thursday evening in Triq Mikiel Anton Vassalli, with the victim being identified as a 36-year-old Italian man living in Birkirkara.  A police investigation revealed that the man was driving his Honda motorcycle through the tunnel when for some reason he lost control of the bike, crashed into the wall and fell off the vehicle.  The man was given first aid on-site by a medical team before being taken to Mater Dei Hospital by ambulance. He unfortunately died shortly after.  Magistrate Philip Galea Farrugia has opened an inquiry into the case and a police investigation into the matter is still ongoing.",2025-01-24,2025-01-23 20:15:00,triq mikiel anton vassalli,msida,Fatal,36,M,1,Motorbike,,,,,,,,,,,,,,,,20250123
article_3423.0,Danilo De Dominicis identified as man who died in Msida motorcycle accident,"Danilo De Dominicis has been identified as the man who died in an Msida motorcycle crash this week as friends and colleagues have expressed their sadness at his death.  DeDominicis was a 36-year-old Italian national, whom Italian news outlets identified as being from the town of Santa Maria Capua Vetere, which is in the Caserta province of the Campania region.   “We want to remember him like this, surrounded by beer and good people, as he loved for all those who knew him, raise a glass to him this weekend,” they said.  De Dominicis’s employer, RiskCap International said they were sad to receive news of his passing.  “He was a valued member of our compliance team in Malta and contributed greatly to our organisation. His presence and outgoing personality will be missed, and our thoughts are with his wife, family during this difficult time.”",2025-01-25,2025-01-23 20:15:00,triq mikiel anton vassalli,msida,Fatal,36,M,1,Motorbike,,,,,,,,,,,,,,,,20250123
release_40,Fatal motorcycle accident,"A 36-year-old Italian man, residing in Birkirkara, lost his life late last night in a traffic accident in Msida.The accident happened at around 2015hrs in Mikiel Anton Vassalli Street.From initial investigations it appears that the man was riding a Honda motorcycle and while he was in the tunnel, he lost control, crashed into the wall and fell.The victim was immediately assisted by a medical team and taken to Mater Dei Hospital by ambulance. Unfortunately, he was certified dead shortly afterwards.Magistrate Dr Philip Galea Farrugia LL. D was informed of the case and appointed an inquiry.Police investigations are still ongoing.",2025-01-24,23/01/2025 20:15,mikiel anton vassalli street,msida,Fatal,36,M,1,Motorbike,,,,,,,,,,,,,,,,20250123
article_3408.0,Motorcyclist injured in Coast Road crash,"Updated 5pm A collision between a car and a motorcycle close to Salini on Saturday afternoon forced the partial closure of the Coast Road.  A 46-year-old man from Fgura was driving his Suzuki motorcycle towards St Paul's Bay when he collided with a BMW heading towards St Julian's.  Police said the man was injured and taken to Mater Dei Hospital but is not in danger of dying. The BMW driver was not injured. Earlier on Saturday traffic towards St Julian's had been at a standstill, but resumed normal function once the road reopened at 5pm.",2025-01-25,2025-01-25 13:00:00,coast road,salini,Slight,46,M,1,Motorbike,Serious,Unknown,Unknown,0,Car,,,,,,,,,,,20250125
release_54,Man grievously injured in traffic accident,"Yesterday, at half past two in the afternoon (1430 hrs), the Police were informed of a traffic accident along the Coast Road, in Naxxar.Preliminary investigations showed that a 46-year-old man from Fgura lost control of his Suzuki motorcycle, fell and crashed into a BMW which was being driven on the opposite lane by a 30-year-old man from St Paul’s Bay.The motorcyclist was assisted by a medical team and taken to Mater Dei Hospital by ambulance. He was later certified to have sustained grievous injuries.The Police are investigating the case.",2025-01-26,25/01/2025 14:30,coast road,naxxar,Grievious,46,M,1,Motorbike,not injured,30,M,1,Car,,,,,,,,,,,20250125
release_470,Persons injured in separate traffic accidents,"Two men were taken to Mater Dei Hospital after being injured in two separate traffic accidents earlier today.The first accident occurred at around 0500hrs, in Hal Farrug Road, Luqa. Preliminary investigations showed that a 34-year-old man from Qrendi was driving a Ford Fiesta, lost control and crashed into an electricity pole.The second incident happened for about the 1245hrs, in D’ Argens Street, Gzira. Preliminary investigations showed that a collision occurred between a Yamaha YB125 motorcycle driven by a 59-year-old man residing in Fgura and a Mazda Demio driven by a 30-year-old man residing in Birkirkara.A medical team assisted in both incidents and the two men aged 34 and 59 years were taken to hospital by ambulance for medical treatment, where they were certified to have sustained grievous injuries.Police investigations are ongoing.",2025-02-01,01/02/2025 12:45,rue d'argens st,gzira,not injured,30,M,0,Car,Grievious,59,M,1,Motorbike,,,,,,,,,,,20250201
release_47,Persons injured in separate traffic accidents,"Two men were taken to Mater Dei Hospital after being injured in two separate traffic accidents earlier today.The first accident occurred at around 0500hrs, in Hal Farrug Road, Luqa. Preliminary investigations showed that a 34-year-old man from Qrendi was driving a Ford Fiesta, lost control and crashed into an electricity pole.The second incident happened for about the 1245hrs, in D’ Argens Street, Gzira. Preliminary investigations showed that a collision occurred between a Yamaha YB125 motorcycle driven by a 59-year-old man residing in Fgura and a Mazda Demio driven by a 30-year-old man residing in Birkirkara.A medical team assisted in both incidents and the two men aged 34 and 59 years were taken to hospital by ambulance for medical treatment, where they were certified to have sustained grievous injuries.Police investigations are ongoing.",2025-02-01,01/02/2025 05:00,hal farrug rd,luqa,Grievious,34,M,1,Car,,,,,,,,,,,,,,,,20250201
article_3255.5,Two men grievously injured in separate traffic accidents,"Two men were hospitalised on Saturday after suffering grievous injuries in separate traffic accidents. The first accident happened at Ħal Farrug Street, Luqa at 5am and involved a 34-year-old man from Qrendi. The police said the man lost control of the Ford Fiesta he was driving and crashed into an electricity pole. He was taken to hospital for treatment where he was certified to be suffering grievous injuries. In a separate accident later on Saturday, a 59-year-old man from Fgura driving a Yamaha YB125 motorbike was involved in a collision with a Mazda Demio driven by a 30-year-old man from Birkirkara. The accident happened in Rue D’Argens, Gżira at 12.45pm. The motorcyclist was hospitalised with grievous injuries. Investigations in both accidents are currently underway.",2025-02-01,2025-02-01 12:45:00,rue d'argens,gzira,Grievious,59,M,1,Motorbike,not injured,30,F,0,Car,,,,,,,,,,,20250201
