id,title,content,date_published,accident_datetime,street,city,A_accident_severity,A_driver_age,A_driver_gender,A_number_injured,A_vehicle_type,B_accident_severity,B_driver_age,B_driver_gender,B_number_injured,B_vehicle_type,C_accident_severity,C_driver_age,C_driver_gender,C_number_injured,C_vehicle_type,D_accident_severity,D_driver_age,D_driver_gender,D_number_injured,D_vehicle_type,accident_date_id,accident_severity,total_injured,delete_flag,C_city,C_street,duplicate_of_id
release_94,Woman greviously injured in traffic accident,"A 36-year-old Italian woman, resident in St Paulâ€™s Bay, was taken to Mater Dei Hospital at around 8:45 a.m. due to injuries sustained in a traffic accident in Triq Santâ€™ Andrija, St Julianâ€™s.Preliminary investigations showed that while she was riding a Kymco Like motorcycle, lost control and fell, subsequently colliding with a Toyota Tercel that was being driven in the same direction by a 71-year-old man from San Ä wann.She was assisted by a medical team and taken to the hospital by ambulance, where she was later certified as having sustained grevious injuries.Police investigations are still ongoing.",04/10/2025,04/10/2025 08:45,triq sant andrija,st julians,Grievious,36,F,1,Motorbike,not injured,71,M,0,Car,,,,,,,,,,,20251004,Grievious,1,retain,st julian,triq sant andrija,
release_87,Traffic accident,"This morning, at around 0530 hrs, the Police were informed of a traffic accident in Triq L-ImÄ¡arr, Qala, Gozo.The Police went immediately on site and from preliminary investigations it resulted that a collision had occurred between a Kia Picanto that was being driven by a 53-year-old woman from Qala and a Honda NSC motorcycle that was being driven by a 47-year-old man, a resident of Nadur.A medical team was called on site and an ambulance took the motorcyclist to Gozo General Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.",02/10/2025,02/10/2025 05:30,triq l-imgarr,qala,not injured,53,F,1,Car,Grievious,47,M,1,Motorbike,,,,,,,,,,,20251002,Grievious,2,retain,qala,triq l-imgarr,
article_495504.0,Motorcyclist grievously injured in early morning Gozo crash,"A motorcyclist was grievously injured in an early morning accident in Qala, Gozo on Thursday. The 47-year old man from Nadur, who was riding a Honda NSC motorbike, was involved in a collision with a Kia Picanto driven by a 53-year old woman from Qala. The accident happened at 5.30am in Triq l-ImÄ¡arr. A medical team was called on site. The motorcyclist was taken to Gozo General Hospital by ambulance where he was certified to have sustained grievous injuries. Police investigations are under way.",02/10/2025,02/10/2025 05:30,triq l-imgarr,qala,Grievious,47,M,1,Motorbike,Grievious,53,F,1,Car,,,,,,,,,,,20251002,Grievious,2,delete,qala,triq l-imgarr,release_87
article_495442.0,Car overturns on MrieÄ§el bypass,"A car overturned on the MrieÄ§el bypass on Thursday afternoon. Â  The blue Fiat seems not to have been involved in a collision with another vehicle. Â Police said that the road wardens- LESA took the lead at the scene. Â  Generally, the Police take over a traffic accident when there are injuries. Â  For some minutes, both lanes of traffic in the busy main road were closed, but after officials swept the area and removed the shattererd glass that scattered on the road, one lane of traffic re-opened. Â  Witnesses on site said traffic was flowing.",02/10/2025,02/10/2025 00:00,mriehel bypass,hal qormi,not injured,none,none,0,car,,,,,,,,,,,,,,,,20251002,not injured,0,retain,qormi,mriehel bypass,
release_92,Man grievously injured in traffic accident,"A 36-year-old Albanian man, from Marsascala, was taken to Mater Dei Hospital at around 1000 hrs following a traffic accident in Triq GÄ§ar Dalam, Birzebbugia.From initial investigations, it appears that the victim was hit by a Toyota Dyna van, which was being driven by a 59-year-old man from Marsa.The Albanian was assisted by a medical team and taken to hospital by an ambulance, where he was certified to have sustained grievous injuries.Police investigations are ongoing.",28/09/2025,28/09/2025 10:00,triq ghar dalam,birzebbuga,Grievious,59,M,1,Van,,,,,,,,,,,,,,,,20250928,Grievious,1,retain,birzebbuga,triq ghar dalam,
article_494910.0,Motorcyclist grievously injured in Marsascala accident,"A biker was grievously injured on Thursday evening after he was involved in a collision with a car in Marsascala.Â  According to police preliminary investigations, the accident happened at 6pm in Triq Sant Antnin and involved a Toyota Passo driven by a 28-year-old woman from Marsascala, and a Kymco Agility motorbike ridden by a 33-year-old man from Tarxien. The motorcyclist was taken to Mater Dei Hospital by ambulance, where he was certified to have sustained grievous injuries. Police investigations are ongoing.",26/09/2025,25/09/2025 18:00,triq sant antnin,marsascala,Grievious,28,F,1,car,Grievious,33,M,1,Motorbike,,,,,,,,,,,20250925,Grievious,2,retain,marsascala,triq sant antnin,
article_494856.0,Elderly pedestrian grievously injured in Gozo traffic accident,"A 70-year-old man from St Julianâ€™s was grievously injured in a traffic accident in Rabat, Gozo, on Thursday afternoon. The accident happened at around 2.15pm in Triq ir-Repubblika, when the man was hit by a Lintex HT125T-28 motorcycle driven by a 58-year-old man from Rabat, Gozo. Both men were assisted by a medical team at the scene. The elderly man was then taken to Gozo General Hospital by ambulance, where doctors certified him as suffering from grievous injuries. Police investigations are ongoing.",25/09/2025,25/09/2025 14:15,triq ir-repubblika,rabat,Grievious,58,M,1,Motorbike,,,,,,,,,,,,,,,,20250925,Grievious,1,delete,rabat,triq ir-repubblika,
release_66,Man grievously injured in traffic accident,"A 70-year-old man residing in St Julianâ€™s, at around 1415hrs, was taken to Gozo General Hospital because he was injured in a traffic accident in Republic Street, Victoria, Gozo.Preliminary investigations showed that the victim was hit by a Lintex HT125T-28 motorcycle, which was being driven by a 58-year-old man residing in Rabat, Gozo.The men were assisted by a medical team and the elderly man was taken to hospital by ambulance, where he was certified to have suffered grievous injuries.Police investigations are ongoing.",25/09/2025,25/09/2025 14:15,republic street,victoria,Grievious,58,M,1,Motorbike,,,,,,,,,,,,,,,,20250925,Grievious,1,retain,victoria,republic street,
article_494727.0,Elderly woman injured as car crashes into a wall,"A woman, 81 from Sta Venera, was seriously injured on Wednesday morning when the car she was travelling in crashed into a wall. The accident happened in Triq Marsalforn, Gozo, at 8am. The car, a Toyota Corolla, was being driven by an 82-year-old man from Zabbar. The police are investigating.",24/09/2025,24/09/2025 08:00,triq marsalforn,xaghra,Serious,82,M,1,car,,,,,,,,,,,,,,,,20250924,Serious,1,delete,xaghra,triq marsalforn,
release_39,Gozo traffic accident,"Today, at around 0800 hrs, the Police were informed of a traffic accident in Triq Marsalforn, Å»ebbuÄ¡, Gozo.From initial investigations, it showed that an 82-year-old man from Ä¦aÅ¼-Å»abbar lost control of the Toyota Corolla he was driving and crashed into a wall. An 81-year-old woman from Santa Venera was also in the vehicle.The woman was assisted by a medical team on site and taken to Gozo General Hospital by an ambulance, where she was certified to have sustained grievous injuries.The Police are carrying out investigations.",24/09/2025,24/09/2025 08:00,triq marsalforn,zebbug,Grievious,82,M,1,Car,,,,,,,,,,,,,,,,20250924,Grievious,1,retain,zebbug,triq marsalforn,
article_494571.0,Motorcyclist injured in hit-and-run,The police are on the lookout for a motorist who allegedly drove on after hitting a motorcyclist in San Ä wann on Monday evening. The accident happened in Bella Vista Street at about 7pm and involved a Renault Megane and a Honda motorcycle. The 42-year-old driver of the motorcycle was seriously injured and hoispitalised. A magisterial inquiry is underway.,23/09/2025,22/09/2025 19:00,bella vista street,san gwann,Serious,none,none,1,car,Serious,42,none,1,Motorbike,,,,,,,,,,,20250922,Serious,2,retain,san gwann,bella vista street,
article_494438.0,Pedestrian injured in Pieta' traffic accident,A 77-year-old woman was seriously injured in an accident in Pieta' on Sunday. The police said the accident happened at 8.30am at Sa Maison. The woman was hit by a Hyundai I10 car driven by a 75-year-old man from Sliema.Â  She was hospitalised.,21/09/2025,21/09/2025 08:30,sa maison,pieta',Serious,75,M,0,car,Serious,77,F,1,pedestrian,,,,,,,,,,,20250921,Serious,1,retain,pieta,sa maison street,
release_15,Woman grievously injured in traffic accident,"A 77-year-old woman residing in Valletta, at around 0830hrs, was taken to Mater Dei Hospital because she was injured in a traffic accident in Sa Maison Street, Tal-PietÃ .Preliminary investigations showed that the victim was hit by a Hyundai I10, which was being driven by a 75-year-old man residing in Tas-Sliema.The woman was assisted by a medical team, taken to hospital by ambulance and certified that she was grievously injured.Police investigations are ongoing.",21/09/2025,21/09/2025 08:30,sa maison street,tal-pieta,Grievious,75,M,1,Car,,,,,,,,,,,,,,,,20250921,Grievious,1,delete,pieta,sa maison street,article_494438.0
release_82,Arrested following a traffic accident in Gozo,"A 30-year-old Englishman is being detained after he allegedly stole a motorcycle in Gozo and shortly afterwards was involved in a collision with the same motorcycle.At around 1330 hrs, the Police were informed of a traffic accident in Triq L-GÄ§arb, GÄ§arb. Police went immediately on site where they found that an accident had occurred between two motorcycles, a Honda and a Kymco, and the Honda driver, a 34-year-old man from XagÄ§ra, needed medical assistance.At this point, persons who were on site informed the police that the Kymco driver, probably a British national, fled the scene. A search immediately began, and shortly afterwards he was found in the vicinity of the accident and was arrested. During the arrest he was aggressive towards the police, who were not injured.During investigations, the Police found that the Kymco motorcycle had just been stolen from Sannat, allegedly from the same British man who was involved in the traffic accident and then fled the scene.The two men were taken to the Gozo General Hospital because of the injuries they sustained in the accident, where the 34-year-old man was later certified to have sustained grievous injuries, while the condition of the arrested person is still pending.Police investigations into this case are ongoing.",20/09/2025,20/09/2025 13:30,triq l-gharb,gharb,Grievious,34,M,1,Motorbike,Slight,30,M,1,Motorbike,,,,,,,,,,,20250920,Grievious,2,retain,gharb,triq l-gharb,
article_494363.0,Motorcyclist arrested after Gozo bike theft ends in crash,"A British man was arrested in Gozo on Saturday after allegedly stealing a motorbike in Sannat and later crashing it into another bike in GÄ§arb, leaving one rider grievously injured. Police said the 30-year old suspect was riding a stolen Kymco motorbike when it was involved in a collision with a Honda motorbike driven by a 34-year old man from XagÄ§ra at around 1.30pm in Triq l-GÄ§arb. The Honda rider was certified as being grievously injured. Witnesses reported that the Kymco rider fled the scene on foot. A search was launched, and officers soon tracked him down nearby. Police said the man was â€œaggressive towards the policeâ€ during his arrest, though no officers were injured. Both riders were taken to Gozo General Hospital for treatment. The British manâ€™s condition remains pending. Police investigations are ongoing.",20/09/2025,20/09/2025 13:30,triq l-gharb,gharb,Grievious,30,M,1,Motorbike,Grievious,34,M,1,Motorbike,,,,,,,,,,,20250920,Grievious,2,delete,gharb,triq l-gharb,release_82
article_494368.0,"Man arrested after stealing motorcycle, crashing with it and fleeing the scene","A 30-year-old has been arrested after he stole a motorcycle, crashed with it and fled the scene.The police confirmed that the British national was arrested earlier today in Gozo after he was allegedly involved in a traffic accident with the same motorcycle he stole.The accident took place at around 1:30pm in Triq l-GÄ§arb, GÄ§arb.Police officers showed up at the scene where two motorcycles had collided, with one of the cyclists, a 34-year-old from XagÄ§ra needing medical assistance.At the point, police were informed by witnesses that the British national had fled the scene, after which they immediately began looking for him.He was found a while later near the scene and was arrested. During the arrest, he was violent with the police officers, but no one was injured.During their investigations, police found a motorcycle that had just been stolen in Sannat, allegedly by the man who was arrested.Both motorcyclists were taken to Gozo General Hospital due to injuries they suffered during the accident.The 34-year-old suffered grievous injuries while the other manâ€™s condition is still pending.Police investigations are still ongoing.",20/09/2025,20/09/2025 13:30,triq l-gharb,gharb,Grievious,34,M,1,Motorbike,Grievious,30,M,1,Motorbike,,,,,,,,,,,20250920,Grievious,2,delete,gharb,triq l-gharb,release_82
article_494209.0,Motorcyclist seriously injured in Bormla crash,"A motorcyclist was seriously injured after he was involved in a collision with a car in Bormla on Thursday evening.Â  A police statement said the accident happened on Triq San Ä wann t'GÄ§uxa at 8.45pm, when a 54-year-old motorcyclist from Å»abbar riding a Honda motorbike was involved in a collision with a Hyundai I30 driven by a 34-year-old man from Msida.Â  A medical team was called to the scene, and the motorcyclist was taken to Mater Dei Hospital via ambulance. He was later certified as having suffered serious The motorcyclist was seen by a medical team on site and later taken to Mater Dei Hospital, where he was certified suffering serious injuries.Â  Magistrate Monica Borg Galea is leading an inquiry, and police investigations into the accident are ongoing.",19/09/2025,18/09/2025 20:45,triq san gwann t'ghuxa,bormla,Serious,54,M,1,Motorbike,Serious,34,M,1,Car,,,,,,,,,,,20250918,Serious,2,retain,cospicua,triq san gwann t'ghuxa,
release_30,Man suffers serious injuries in traffic accident,"A 52-year-old man from Å»urrieq, at around 2330hrs, was taken to Mater Dei Hospital after suffering injuries in a traffic accident in a parking lot on Triq il-Mina taâ€™ Hompesch, Ä¦aÅ¼-Å»abbar.Initial investigations revealed that the victim was hit by a Toyota Vitz, which was being driven by a 26-year-old man resident in Kalkara.The man was treated by a medical team, taken to hospital by ambulance and certified as having suffered serious injuries.Magistrate Dr Philip Galea Farrugia LL.D was informed of the case and an inquiry was opened, while investigations by the Police are still ongoing.",17/09/2025,16/09/2025 23:30,triq il-mina ta hompesch,haz-zabbar,Serious,26,M,1,Car,,,,,,,,,,,,,,,,20250916,Serious,1,retain,zabbar,triq il-mina ta hompesch,
article_493983.0,52-year-old pedestrian seriously injured after being hit by a car in Å»abbar,"A man was seriously injured after he was hit by a car in a parking area in Å»abbar on Tuesday evening.Â  According to the police, the accident happened at 11.30 pm in a parking area in Triq il-Mina taâ€™Hompesch, when a 52-year-old man from Å»urrieq was hit by a Toyota Vitz driven by a 26-year-old man from Kalkara.Â  The pedestrian was taken to Mater Dei Hospital, where he was certified to be suffering from serious injuries.Â  Magistrate Philip Galea Farrugia is leading an inquiry, and police investigations into the accident are ongoing.",17/09/2025,16/09/2025 23:30,triq il-mina tahompesch,zabbar,Serious,26,M,0,car,Serious,52,M,1,pedestrian,,,,,,,,,,,20250916,Serious,1,delete,zabbar,triq il-mina ta hompesch,release_30
release_36,Motorcycle accident in St Paul&#8217;s Bay,"A 44-year-old Japanese woman who resides in Birkirkara, at around 1930hrs, was taken to Mater Dei Hospital because she was injured in a traffic accident in Triq San Pawl, St Paulâ€™s Bay.Preliminary investigations showed that a 44-year-old German man who lives in St Julianâ€™s was driving a Voge 300Rally motorcycle, lost control and fell. The woman was a pillion rider on the motorcycle.They were assisted by a medical team, and the woman was taken to hospital by ambulance where she was certified to have sustained grievous injuries.Police investigations are ongoing.",16/09/2025,16/09/2025 19:30,triq san pawl,st pauls bay,not injured,44,M,0,Motorbike,Grievious,44,F,1,Motorbike,,,,,,,,,,,20250916,Grievious,1,retain,san pawl il bahar,triq san pawl,
article_493898.0,Pedestrian injured in Victoria accident,"A 29-year-old Spanish woman was seriously injured when she was hit by a car in Republic Street, Victoria, Gozo on Tuesday afternoon. The police said the accident happened at 12.15pm. The pedestrian was hit by a Mazda 2 driven by a 69-year-old woman from Victoria. She was hospitalised.Â  The police are investigating.",16/09/2025,16/09/2025 12:15,republic street,victoria,Serious,69,F,0,car,Serious,29,F,1,pedestrian,,,,,,,,,,,20250916,Serious,1,retain,victoria,republic street,
release_58,Woman grievously injured in traffic accident,"A 29-year-old Spanish woman, at around 1215hrs, was taken to the Gozo General Hospital because she was injured in a traffic accident in Republic Street, Victoria, Gozo.Preliminary investigations showed that the victim was hit by Mazda 2, which was being driven by a woman a 64-year-old resident of Rabat, Gozo.The woman was assisted by a medical team, taken to hospital by ambulance and certified that she was grievously injured.Police investigations are ongoing.",16/09/2025,16/09/2025 12:15,republic street,victoria,Grievious,64,F,1,Car,,,,,,,,,,,,,,,,20250916,Grievious,1,delete,victoria,republic street,article_493898.0
article_493702.0,Motorbike driver and cyclist suffer grievous injuries in Å»abbar,"A motorbike driver and a teenage cyclist both suffered grievous injuries in an accident in Å»abbar The incident happened at around the same time as hundreds of bicycles and motorcyclists were arriving from the Our Lady of Graces Pilgrimage that ends in Å»abbar.Â  A police statement stated that the incident occurred at approximately 1:30 p.m. at Triq Bajada.Â  ""Preliminary investigations show that the incedent involved a Honda motorbike driven by a 52-year-old man from Å»abbar and a 14-year-old boy on a bicycle also from Å»abbar"".Â Â  ""After a medical team provided first aid, they were taken to hospital and were certified to be suffering from grievous injuries"" the police statement said.Â  Police investigations are ongoing.",14/09/2025,14/09/2025 13:30,triq bajada,zabbar,Grievious,52,M,1,Motorbike,Grievious,14,M,1,Bicycle,,,,,,,,,,,20250914,Grievious,2,retain,zabbar,triq bajada,
article_493670.0,Two men seriously injured in separate traffic accidents,"Two men were seriously injured in two separate traffic accidents on Saturday night. Â  The first accident occurred at around 11pm on the St Paulâ€™s Roundabout, when a 69-year-old man, a resident of the area, collided with the pavement while driving his Mercedes B180, flipping his car and leaving it upside down in a field to the side of the road. The second accident occurred at around 1.30am on Triq Mikiel Anton Vassalli in Msida, when a Honda CB650 motorcycle driven by a Taâ€™ Xbiex man, 34, was involved in a collision with a Mazda Demio driven by a 24-year-old man from Vittoriosa. Medical staff attended both scenes, with the 69-year-old man and the motorcyclist taken to Mater Dei Hospital for further treatment, where their injuries were certified as serious. Investigations are continuing.",14/09/2025,13/09/2025 23:00,st pauls roundabout,san pawl,not injured,69,M,1,car,,,,,,,,,,,,,,,,20250913,not injured,1,retain,san pawl il bahar,st paul's roundabout,
release_20,Man seriously injured in traffic accident,"A 54-year-old man, a resident of Marsa, sustained serious injuries after he was involved in a traffic accident in Triq il-Perit Dom Mintoff, Paola yesterday at around 9pm (2100 hrs).From initial investigations it appears that for some reason the driver who was driving a Honda Fit lost control and crashed into an electricity pole.A medical team assisted the man and was taken to Mater Dei Hospital by ambulance.Magistrate Dr Monica Borg Galea LL.D. was informed and appointed an inquiry while Police investigations in connection with this incident are ongoing.",14/09/2025,13/09/2025 21:00,triq il-perit dom mintoff,paola,Serious,54,M,1,Car,,,,,,,,,,,,,,,,20250913,Serious,1,retain,paola,triq il-perit dom mintoff,
